name,cmc,price,color
Angel of Sanctions,5,0.4,#ffffff
Angel of Serenity,7,0.95,#ffffff
Angel of the Dire Hour,7,1.05,#ffffff
Angel's Grace,1,4.6,#ffffff
Animate Wall,1,0.39,#ffffff
Anointed Procession,4,33.26,#ffffff
Approach of the Second Sun,7,1.26,#ffffff
Arashin Foremost,3,0.33,#ffffff
Arbiter of Knollridge,7,0.23,#ffffff
Archangel,7,0.65,#ffffff
Archangel Avacyn // Avacyn- the Purifier,5,6.54,#d78f42
Archangel of Strife,7,0.63,#ffffff
Archangel of Thune,5,18.21,#ffffff
Archangel of Tithes,4,17.16,#ffffff
Archangel's Light,8,0.74,#ffffff
Archon of Coronation,6,1.09,#ffffff
Archon of Emeria,3,0.72,#ffffff
Archon of Justice,5,0.37,#ffffff
Archon of Redemption,5,0.24,#ffffff
Archon of Sun's Grace,4,1.68,#ffffff
Archpriest of Iona,1,0.12,#ffffff
Arena Rector,4,11.67,#ffffff
Armageddon,4,5.38,#ffffff
Armament Master,2,0.27,#ffffff
Armistice,3,0.11,#ffffff
Armored Skyhunter,4,0.81,#ffffff
Arrest,3,0.45,#ffffff
Ashes of the Abhorrent,2,0.34,#ffffff
Astral Drift,3,0.09,#ffffff
Atalya- Samite Master,5,0.74,#ffffff
Auratog,2,0.53,#ffffff
Aurification,4,2.6,#ffffff
Auriok Champion,2,48.52,#ffffff
Auriok Salvagers,4,0.27,#ffffff
Auriok Steelshaper,2,1.57,#ffffff
Auriok Windwalker,4,0.45,#ffffff
Auspicious Ancestor,4,6.95,#ffffff
Austere Command,6,1.61,#ffffff
Authority of the Consuls,1,6.53,#ffffff
Avacyn- Angel of Hope,8,34.91,#ffffff
Avacyn- Guardian Angel,5,0.62,#ffffff
Avatar of Hope,8,0.39,#ffffff
Aven Brigadier,6,1.13,#ffffff
Avenger en-Dal,2,0.25,#ffffff
Avenging Angel,5,8.6,#ffffff
Avenging Huntbonder,5,0.14,#ffffff
Aven Mindcensor,3,3.19,#ffffff
Aven Shrine,3,0.3,#ffffff
Axis of Mortality,6,0.72,#ffffff
Aysen Crusader,4,2.34,#ffffff
Aysen Highway,6,3.69,#ffffff
Balance,2,1.97,#ffffff
Balancing Act,4,0.48,#ffffff
Balan- Wandering Knight,4,9.33,#ffffff
Baneslayer Angel,5,2.98,#ffffff
Barren Glory,6,0.9,#ffffff
Basri Ket,3,2.17,#ffffff
Basri's Aegis,4,0.43,#ffffff
Basri's Lieutenant,4,0.41,#ffffff
Bastion Protector,3,21.59,#ffffff
Battlegrace Angel,5,0.55,#ffffff
Battletide Alchemist,5,4.21,#ffffff
Beacon of Destiny,2,0.21,#ffffff
Beacon of Immortality,6,1.93,#ffffff
Beast Walkers,3,1.52,#d78f42
Benalish Commander,4,0.13,#ffffff
Benalish Marshal,3,0.56,#ffffff
Benevolent Offering,4,2.21,#ffffff
Bishop of Binding,4,0.23,#ffffff
Bishop of Rebirth,5,0.37,#ffffff
Bishop of Wings,2,5.64,#ffffff
Blade Splicer,3,0.43,#ffffff
Blaze of Glory,1,71.74,#ffffff
Blazing Archon,9,2.26,#ffffff
Blessed Reversal,2,0.24,#ffffff
Blessed Sanctuary,5,2.9,#ffffff
Blessed Wind,9,0.27,#ffffff
Blessing,2,0.38,#ffffff
Blinding Angel,5,2.06,#ffffff
Blinding Light,3,0.48,#ffffff
Blind Obedience,2,6.27,#ffffff
Blinking Spirit,4,0.27,#ffffff
Bonescythe Sliver,4,8.83,#ffffff
Boon Reflection,5,2.39,#ffffff
Boreas Charger,3,2.19,#ffffff
Bounty Agent,2,0.18,#ffffff
Brave the Elements,1,2.92,#ffffff
Brightling,3,1.07,#ffffff
Brigid- Hero of Kinsbaile,4,0.91,#ffffff
Brimaz- King of Oreskos,3,15.13,#ffffff
Bringer of the White Dawn,9,1.73,#d78f42
Brought Back,2,0.92,#ffffff
Bruna- the Fading Light,7,3.49,#ffffff
By Gnome Means,3,0.18,#ffffff
Bygone Bishop,3,0.44,#ffffff
Call for Unity,5,0.25,#ffffff
Call the Coppercoats,3,0.27,#ffffff
Call the Gatewatch,3,0.39,#ffffff
Call to Arms,2,1.79,#ffffff
Cantivore,3,0.29,#ffffff
Captain of the Watch,6,0.61,#ffffff
Captured by the Consulate,4,0.1,#ffffff
Cartographer's Hawk,2,0.5,#ffffff
Cataclysmic Gearhulk,5,0.45,#ffffff
Catapult Master,5,0.43,#ffffff
Catastrophe,6,4.03,#ffffff
Cathars' Crusade,5,5.78,#ffffff
